# Region type :       patch INLET
# Faces               : 25600
# Area                : 3.57823331707631e-02
# Scale factor        : 1.00000000000000e+00
# Time                	sum(phi)
0.077                 	-5.66380919449724e-02
0.0772                	-5.66342427990707e-02
0.0774                	-5.66299143460436e-02
0.0776                	-5.66273439615411e-02
0.0778                	-5.66297435004212e-02
0.078                 	-5.66383247795008e-02
0.0782                	-5.66476845497133e-02
0.0784                	-5.66599251509084e-02
0.0786                	-5.66610333972218e-02
0.0788                	-5.66671769075161e-02
0.079                 	-5.66632861483813e-02
0.0792                	-5.66501829691845e-02
0.0794                	-5.66316474403029e-02
0.0796                	-5.66133297428941e-02
0.0798                	-5.65943209111076e-02
0.08                  	-5.65870782098947e-02
0.0802                	-5.65919409351214e-02
0.0804                	-5.65942404845966e-02
0.0806                	-5.65803860836943e-02
0.0808                	-5.65680556006247e-02
0.081                 	-5.65561724029639e-02
0.0812                	-5.65557413938495e-02
0.0814                	-5.65583599705510e-02
0.0816                	-5.65529822897713e-02
0.0818                	-5.65444398691485e-02
0.082                 	-5.65432716090268e-02
0.0822                	-5.65456781625793e-02
0.0824                	-5.65466246516225e-02
0.0826                	-5.65414771554808e-02
0.0828                	-5.65332974201612e-02
0.083                 	-5.65308966560720e-02
0.0832                	-5.65242519910164e-02
0.0834                	-5.65122453543163e-02
0.0836                	-5.64942780812946e-02
0.0838                	-5.64760361831527e-02
0.084                 	-5.64638590263476e-02
0.0842                	-5.64633722593684e-02
0.0844                	-5.64668741982938e-02
0.0846                	-5.64523120176502e-02
0.0848                	-5.64475436260188e-02
0.085                 	-5.64591374132888e-02
0.0852                	-5.64721249820911e-02
0.0854                	-5.64735074107264e-02
0.0856                	-5.64593669314021e-02
0.0858                	-5.64389863948391e-02
0.086                 	-5.64377032207420e-02
0.0862                	-5.64357824343094e-02
0.0864                	-5.64141739273202e-02
0.0866                	-5.63736998800723e-02
0.0868                	-5.63470882208651e-02
0.087                 	-5.63272348905844e-02
0.0872                	-5.63241689428311e-02
0.0874                	-5.63275390211837e-02
0.0876                	-5.63332318555871e-02
0.0878                	-5.63347858721880e-02
0.088                 	-5.63311430074884e-02
0.0882                	-5.63180818077040e-02
0.0884                	-5.63073724560748e-02
0.0886                	-5.63178146980667e-02
0.0888                	-5.63205026175820e-02
0.089                 	-5.62944625880270e-02
0.0892                	-5.62544823571526e-02
0.0894                	-5.62111796352839e-02
0.0896                	-5.61965096270255e-02
0.0898                	-5.62005165285355e-02
0.09                  	-5.62002058228858e-02
0.0902                	-5.61753575352994e-02
0.0904                	-5.61531242537386e-02
0.0906                	-5.61465917073572e-02
0.0908                	-5.61629369093999e-02
0.091                 	-5.61769714056128e-02
0.0912                	-5.61613956441798e-02
0.0914                	-5.61242282925204e-02
0.0916                	-5.61035102979596e-02
0.0918                	-5.61130770037164e-02
0.092                 	-5.61308789063432e-02
0.0922                	-5.61281336432968e-02
0.0924                	-5.60856238080127e-02
0.0926                	-5.60482271182570e-02
0.0928                	-5.60248557495570e-02
0.093                 	-5.60153186573923e-02
0.0932                	-5.60026238704744e-02
0.0934                	-5.59697550767220e-02
0.0936                	-5.59378524618632e-02
0.0938                	-5.59187102960404e-02
0.094                 	-5.59082597412100e-02
0.0942                	-5.58882327208968e-02
0.0944                	-5.58658038760940e-02
0.0946                	-5.58382730212129e-02
0.0948                	-5.58170180688259e-02
0.095                 	-5.57982959402804e-02
0.0952                	-5.57673765059019e-02
0.0954                	-5.57258904386631e-02
0.0956                	-5.56862282771183e-02
0.0958                	-5.56645155440252e-02
0.096                 	-5.56495335650467e-02
0.0962                	-5.56223108153077e-02
0.0964                	-5.55794094053883e-02
0.0966                	-5.55415415966114e-02
0.0968                	-5.55157666515920e-02
0.097                 	-5.54996654400975e-02
0.0972                	-5.54848234035755e-02
0.0974                	-5.54689622876942e-02
0.0976                	-5.54555241215456e-02
0.0978                	-5.54484945142575e-02
0.098                 	-5.54338929964297e-02
0.0982                	-5.54110005363504e-02
0.0984                	-5.54039836183216e-02
0.0986                	-5.54149948179083e-02
0.0988                	-5.54205166883115e-02
0.099                 	-5.54165469276349e-02
0.0992                	-5.54231488965754e-02
0.0994                	-5.54486217794206e-02
0.0996                	-5.54788521755992e-02
0.0998                	-5.55032420159656e-02
0.1                   	-5.55114847428519e-02
0.1002                	-5.55173038186766e-02
0.1004                	-5.55451393163040e-02
0.1006                	-5.55686264240987e-02
0.1008                	-5.55911753024119e-02
0.101                 	-5.56080477656713e-02
0.1012                	-5.56191685547096e-02
0.1014                	-5.56223150938925e-02
0.1016                	-5.56433256621693e-02
0.1018                	-5.56724876971452e-02
0.102                 	-5.57130364529425e-02
0.1022                	-5.57409043410845e-02
0.1024                	-5.57481147354639e-02
0.1026                	-5.57702234015856e-02
0.1028                	-5.57993560413118e-02
0.103                 	-5.58203876654781e-02
0.1032                	-5.58397791684482e-02
0.1034                	-5.58484483626209e-02
0.1036                	-5.58606874661409e-02
0.1038                	-5.58722811572182e-02
0.104                 	-5.58749078380478e-02
0.1042                	-5.58652127412115e-02
0.1044                	-5.58684727634605e-02
0.1046                	-5.58894261312561e-02
0.1048                	-5.59091880271028e-02
0.105                 	-5.59279170053733e-02
0.1052                	-5.59269415878589e-02
0.1054                	-5.59282231003227e-02
0.1056                	-5.59363109614879e-02
0.1058                	-5.59497725584828e-02
0.106                 	-5.59601399672822e-02
0.1062                	-5.59539266970732e-02
0.1064                	-5.59463985323386e-02
0.1066                	-5.59558556748800e-02
0.1068                	-5.59881627393362e-02
0.107                 	-5.60090067287952e-02
0.1072                	-5.60070264145056e-02
0.1074                	-5.59874421407540e-02
0.1076                	-5.59892963885376e-02
0.1078                	-5.60131274075118e-02
0.108                 	-5.60364301578992e-02
0.1082                	-5.60403318242145e-02
0.1084                	-5.60338498917878e-02
0.1086                	-5.60397412110165e-02
0.1088                	-5.60564022990578e-02
0.109                 	-5.60729479508179e-02
0.1092                	-5.60846639306293e-02
0.1094                	-5.60943625149908e-02
0.1096                	-5.61044823519726e-02
0.1098                	-5.61156298492081e-02
0.11                  	-5.61153759577776e-02
0.1102                	-5.61055366604061e-02
0.1104                	-5.60889417696062e-02
0.1106                	-5.60720478571555e-02
0.1108                	-5.60571906262436e-02
0.111                 	-5.60523838979442e-02
0.1112                	-5.60352535961738e-02
0.1114                	-5.60005315612003e-02
0.1116                	-5.59654150371082e-02
0.1118                	-5.59516390968268e-02
0.112                 	-5.59659904109167e-02
0.1122                	-5.59760816875836e-02
0.1124                	-5.59613659960015e-02
0.1126                	-5.59408189021234e-02
0.1128                	-5.59324297316490e-02
0.113                 	-5.59488222241216e-02
0.1132                	-5.59736082443487e-02
0.1134                	-5.59914922702255e-02
0.1136                	-5.60042365823506e-02
0.1138                	-5.60240518042548e-02
0.114                 	-5.60392212598414e-02
0.1142                	-5.60667053627088e-02
0.1144                	-5.61043461819515e-02
0.1146                	-5.61348781047053e-02
0.1148                	-5.61333852935445e-02
0.115                 	-5.61338353163526e-02
0.1152                	-5.61592300761270e-02
0.1154                	-5.61958121521538e-02
0.1156                	-5.62086033292972e-02
0.1158                	-5.61866406837685e-02
0.116                 	-5.61511256548846e-02
0.1162                	-5.61536178106072e-02
0.1164                	-5.61808871515561e-02
0.1166                	-5.61901954198885e-02
0.1168                	-5.61659915646976e-02
0.117                 	-5.61485009449747e-02
0.1172                	-5.61534010632864e-02
0.1174                	-5.61675962398786e-02
0.1176                	-5.61706842943386e-02
0.1178                	-5.61688125402359e-02
0.118                 	-5.61729258978936e-02
0.1182                	-5.61763929760466e-02
0.1184                	-5.61867189099439e-02
0.1186                	-5.61908380680545e-02
0.1188                	-5.61904734298218e-02
0.119                 	-5.61923999457198e-02
0.1192                	-5.62137370379921e-02
0.1194                	-5.62299502193132e-02
0.1196                	-5.62443359573518e-02
0.1198                	-5.62636038299443e-02
0.12                  	-5.62786181927286e-02
0.1202                	-5.62869194498881e-02
